marca;preco;loja;link
Placa de Vídeo Biostar AMD Radeon RX 6700 XT OC, 12GB, GDDR6, FSR, Ray Tracing, VA67S6TML9;R$ 1.699,99;Terabyte;https://www.terabyteshop.com.br/produto/27918/placa-de-video-biostar-amd-radeon-rx-6700-xt-oc-12gb-gddr6-fsr-ray-tracing-va67s6tml9
Placa de Vídeo ASRock Radeon RX 6600 Challenger D, 8GB, GDDR6, FSR, Ray Tracing, 90-GA2RZZ-00UANF;R$ 1.299,99;Terabyte;https://www.terabyteshop.com.br/produto/19808/placa-de-video-asrock-radeon-rx-6600-challenger-d-8gb-gddr6-fsr-ray-tracing-90-ga2rzz-00uanf
Placa de Vídeo Asus TUF Gaming NVIDIA GeForce RTX 4060 Ti OC, 8GB, GDDR6, DLSS, Ray Tracing, TUF-RTX4060T;R$ 2.799,99;Terabyte;https://www.terabyteshop.com.br/produto/25071/placa-de-video-asus-tuf-gaming-nvidia-geforce-rtx-4060-ti-oc-8gb-gddr6-dlss-ray-tracing-tuf-rtx4060ti-o8g-gaming
Placa de Vídeo MSI NVIDIA GeForce GTX 1650 Ventus XS OC, 4GB, GDDR6, 128Bit, GTX1650D6VXSOC;R$ 768,99;Terabyte;https://www.terabyteshop.com.br/produto/27476/placa-de-video-msi-nvidia-geforce-gtx-1650-ventus-xs-oc-4gb-gddr6-128bit-gtx1650d6vxsoc
Placa de Vídeo ASUS DUAL AMD Radeon RX 6600 V2, 8GB, GDDR6, FSR, Ray Tracing, DUAL-RX6600-8G-V2;R$ 1.279,90;Terabyte;https://www.terabyteshop.com.br/produto/29026/placa-de-video-asus-dual-amd-radeon-rx-6600-v2-8gb-gddr6-fsr-ray-tracing-dual-rx6600-8g-v2
Placa de Vídeo Colorful NVIDIA GeForce RTX 3060 NB DUO V2-V, 8GB, GDDR6, DLSS, Ray Tracing;R$ 1.599,90;Terabyte;https://www.terabyteshop.com.br/produto/28538/placa-de-video-colorful-nvidia-geforce-rtx-3060-nb-duo-v2-v-8gb-gddr6-dlss-ray-tracing
Placa de Vídeo Gigabyte AMD Radeon RX 6600 EAGLE 8G, 8GB, GDDR6, FSR, Ray Tracing;R$ 1.399,90;Terabyte;https://www.terabyteshop.com.br/produto/21405/placa-de-video-gigabyte-amd-radeon-rx-6600-eagle-8g-8gb-gddr6-fsr-ray-tracing
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 4060 Gaming OC, 8G, 8GB, GDDR6, DLSS, Ray Tracing, GV-N4060GAM;R$ 2.079,99;Terabyte;https://www.terabyteshop.com.br/produto/25238/placa-de-video-gigabyte-nvidia-geforce-rtx-4060-gaming-oc-8g-8gb-gddr6-dlss-ray-tracing-gv-n4060gaming-oc-8gd
Placa de Vídeo AsRock AMD Radeon RX 7600 Challenger OC, 8GB, GDDR6, FSR, Ray Tracing, 90-GA41ZZ-00UANF;R$ 1.699,99;Terabyte;https://www.terabyteshop.com.br/produto/25051/placa-de-video-asrock-amd-radeon-rx-7600-challenger-oc-8gb-gddr6-fsr-ray-tracing-90-ga41zz-00uanf
Placa De Vídeo MSI NVIDIA GeForce RTX 4070 Super Ventus 3X OC, 12GB, GDDR6X, DLSS, Ray Tracing, 912-V513-;R$ 3.999,99;Terabyte;https://www.terabyteshop.com.br/produto/28528/placa-de-video-msi-nvidia-geforce-rtx-4070-super-ventus-3x-oc-12gb-gddr6x-dlss-ray-tracing-912-v513-643
Placa de Vídeo XFX Speedster AMD Radeon RX 6650 XT SWFT 210, 8GB, GDDR6, FSR, Ray Tracing, RX-665X8DFDY;R$ 1.479,99;Terabyte;https://www.terabyteshop.com.br/produto/25059/placa-de-video-xfx-speedster-amd-radeon-rx-6650-xt-swft-210-8gb-gddr6-fsr-ray-tracing-rx-665x8dfdy
Placa de Vídeo Colorful NVIDIA GeForce RTX 3050 NB DUO V2-V, 6GB, GDDR6, DLSS, Ray Tracing, RTX 3050 NB D;R$ 1.139,90;Terabyte;https://www.terabyteshop.com.br/produto/28446/placa-de-video-colorful-nvidia-geforce-rtx-3050-nb-duo-v2-v-6gb-gddr6-dlss-ray-tracing-rtx-3050-nb-duo-6gb-v
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 4060 EAGLE OC, 8GB, GDDR6, DLSS, Ray Tracing, GV-N4060EAGLE OC;R$ 2.099,99;Terabyte;https://www.terabyteshop.com.br/produto/25236/placa-de-video-gigabyte-nvidia-geforce-rtx-4060-eagle-oc-8gb-gddr6-dlss-ray-tracing-gv-n4060eagle-oc-8gd
Placa de Vídeo XFX AMD Radeon RX 6750 XT Speedster QICK 319, 12GB, GDDR6, FSR, Ray Tracing, RX-675XYJFDP;R$ 2.249,99;Terabyte;https://www.terabyteshop.com.br/produto/25057/placa-de-video-xfx-radeon-rx-6750-xt-speedster-qick-319-12gb-gddr6-fsr-ray-tracing-rx-675xyjfdp
